city_fuzzy,city_clean
Arequipa,Arequipa
Arequpa,Arequipa
Barranquila,Barranquilla
Barranquilla,Barranquilla
Bogota,Bogota
Bogta,Bogota
Brasila,Brasilia
Brasilia,Brasilia
Buenos Aire,Buenos Aires
Buenos Aires,Buenos Aires
Cai,Cali
Cali,Cali
Cartagena,Cartagena
Cartagna,Cartagena
Ciudad de Mexico,Ciudad de Mexico
Ciudd de Mexico,Ciudad de Mexico
Concepcin,Concepcion
Concepcion,Concepcion
Cordba,Cordoba
Cordoba,Cordoba
Cusc,Cusco
Cusco,Cusco
Fortaleza,Fortaleza
Fortalza,Fortaleza
Guadalajara,Guadalajara
Guadalajra,Guadalajara
La Serena,La Serena
La Serna,La Serena
Lima,Lima
Lma,Lima
Maldonad,Maldonado
Maldonado,Maldonado
Medelin,Medellin
Medellin,Medellin
Mendoza,Mendoza
Mendza,Mendoza
Monterrey,Monterrey
Monterry,Monterrey
Montevide,Montevideo
Montevideo,Montevideo
Paysand,Paysandu
Paysandu,Paysandu
Piua,Piura
Piura,Piura
Puebl,Puebla
Puebla,Puebla
Rio de Janeiro,Rio de Janeiro
Rio de Janero,Rio de Janeiro
Rivera,Rivera
Rivra,Rivera
Rosario,Rosario
Rosaro,Rosario
Salto,Salto
Saltp,Salto
Salvador,Salvador
Salvdor,Salvador
Santiag,Santiago
Santiago,Santiago
Sao Paulo,Sao Paulo
Sao Paulp,Sao Paulo
Temco,Temuco
Temuco,Temuco
Tijana,Tijuana
Tijuana,Tijuana
Trujillo,Trujillo
Trujllo,Trujillo
Tucman,Tucuman
Tucuman,Tucuman
Valparaiso,Valparaiso
